,1-0-5-16S,1239-0-5-16S,1250-0-5-16S,13-0-5-16S,1338-0-5-16S,1387-0-5-16S,522-0-5-16S,856-0-5-16S,98-0-5-16S,1601-0-5-16S,1619-0-5-16S,1832-0-5-16S,1850-0-5-16S,1859-0-5-16S,1875-0-5-16S,1973-0-5-16S,2355-0-5-16S,2352-0-5-16S,2597-0-5-16S,2398-0-5-16S,2500-0-5-16S,2537-0-5-16S,2629-0-5-16S,2869-0-5-16S,2893-0-5-16S,2923-0-5-16S,3239-0-5-16S,3381-0-5-16S,3409-0-5-16S,3500-0-5-16S,3667-0-5-16S,3682-0-5-16S,3779-0-5-16S,3907-0-5-16S,473-0-5-16S,554-0-5-16S,672-0-5-16S,717-0-5-16S
ASV1006,0,0,0,0,0,0,0,0,0,0,0,0,0.002554278,0,0.003393665,0,0,0,0,0,0.000464576,0,0,0,0,0,0,0.000558036,0.002104377,0,0,0.000524679,0,0,0,0,0,0
ASV10060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001192339,0,0,0,0,0,0,0
ASV10061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001192339,0,0,0,0,0,0,0
ASV10062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001192339,0,0,0,0,0,0,0
ASV10063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001192339,0,0,0,0,0,0,0
ASV10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001192339,0,0,0,0,0,0,0
ASV10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001192339,0,0,0,0,0,0,0
ASV10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001192339,0,0,0,0,0,0,0
ASV10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001192339,0,0,0,0,0,0,0
ASV10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001035609,0.001787404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134522,0,0
ASV1008,0,0,0,0,0,0.000725742,0,0,0,0.001173611,0,0,0,0,0,0,0,0,0.001354258,0,0,0,0,0,0,0,0,0,0.001052189,0.000822755,0.001490424,0,0,0,0,0,0,0
ASV10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV1009,0.001432754,0,0,0,0,0,0,0,0,0,0,0,0,0.000701115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0.000926739
ASV10090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
