,1239-5-10-amf,1250-5-10-amf,13-5-10-amf,1387-5-10-amf,522-5-10-amf,672-5-10-amf,717-5-10-amf,856-5-10-amf,98-5-10-amf,1859-5-10-AMF,1601-5-10-AMF,1619-5-10-AMF,1832-5-10-AMF,1850-5-10-AMF,1875-5-10-AMF,1973-5-10-AMF,2355-5-10-AMF,2398-5-10-AMF,2500-5-10-AMF,2537-5-10-AMF,2597-5-10-AMF,2629-5-10-AMF,2893-5-10-AMF,2923-5-10-AMF,2869-5-10-AMF,3239-5-10-AMF,3381-5-10-AMF,3409-5-10-AMF,3667-5-10-AMF,3682-5-10-AMF,3779-5-10-AMF,3907-5-10-AMF,473-5-10-AMF,554-5-10-AMF
ASV795,0,0.003068531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003127443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2534,0,0,0.003138239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000717618,0,0,0,0.002515271,0,0,0,0,0,0,0
ASV2894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003286231,0,0
ASV1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003369434,0,0,0,0,0
ASV744,0,0,0.003452063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2020,0,0,0,0,0,0,0.000718391,0,0,0.000419639,0,0.000187266,0,0,0,0.000833333,0,0,0,0,0,0,0.000717618,0,0,0,0.000718649,0,0,0,0,0,0,0
ASV2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003255562,0,0,0,0,0,0,0,0,0.000481348,0,0,0,0,0
ASV1358,0,0.000227299,0,0.001672707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001974612,0,0,0,0,0,0,0,0,0
ASV3338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003942978,0,0,0,0
ASV3339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003942978,0,0,0,0
ASV1807,0,0,0.000627648,0,0,0,0,0,0,0,0,0.001872659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303306,0,0,0.001184834,0
ASV3474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003996004,0,0,0,0,0,0,0,0,0,0
ASV2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004246285,0,0,0,0
ASV2552,0,0,0,0,0,0,0,0,0.000715308,0,0.001914486,0,0,0,0,0,0,0,0,0.001627781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042721,0,0
ASV3396,0,0,0,0,0,0,0,0.004291845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2185,0,0,0,0,0,0,0,0,0,0,0,0,0.004494382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1664,0,0.004545971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004549591,0,0,0,0
ASV1525,0,0,0,0,0,0,0,0,0,0,0,0.004681648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2235,0,0,0,0,0,0,0,0,0,0,0,0.004681648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1972,0,0,0.004707359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1935,0,0,0.004864271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1936,0,0,0.004864271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1135,0,0,0.000156912,0,0,0,0,0,0,0,0,0,0,0,0.002449479,0,0,0,0,0,0.000824538,0,0,0,0,0,0,0,0.001444043,0,0,0,0,0
ASV3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004286589,0,0,0,0.000182582,0,0,0,0,0,0,0,0,0,0.000481348,0,0,0,0,0
ASV2644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004951785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2143,0,0,0,0,0,0,0,0,0,0,0,0.00505618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005121639,0,0,0,0,0,0,0,0
ASV2015,0,0.001022844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00287047,0,0,0.00128041,0,0,0,0,0,0,0,0
ASV1866,0,0,0.005178095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1869,0,0,0.005178095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005212406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2619,0,0,0,0.005296905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1833,0,0,0.005335007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV174,0,0.005341516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2995,0,0,0,0,0,0,0,0.005364807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005425936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1377,0,0,0,0,0,0,0,0,0,0,0,0.005430712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1470,0,0.005455165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3261,0,0,0,0,0,0,0,0,0,0.005455308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3681,0.005608525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3682,0.005608525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005780347,0,0,0
ASV1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005782793,0,0,0,0,0,0,0,0,0
ASV2486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
