,1-0-5-ITS,1239-0-5-ITS,1239-5-10-ITS,1250-0-5-ITS,1250-5-10-ITS,13-5-10-ITS,1338-0-5-ITS,1338-5-10-ITS,1387-0-5-ITS,1387-5-10-ITS,522-0-5-ITS,522-5-10-ITS,672-5-10-ITS,717-5-10-ITS,856-0-5-ITS,856-5-10-ITS,98-0-5-ITS,98-5-10-ITS,1859-5-10-ITS2,1601-5-10-ITS2,1601-0-5-ITS2,1619-0-5-ITS2,1619-5-10-ITS2,1832-0-5-ITS2,1832-5-10-ITS2,1850-0-5-ITS2,1850-5-10-ITS2,1859-0-5-ITS2,1875-0-5-ITS2,1875-5-10-ITS2,1973-5-10-ITS2,1973-0-5-ITS2,2355-0-5-ITS2,2352-0-5-ITS2,2355-5-10-ITS2,2597-0-5-ITS2,2398-0-5-ITS2,2398-5-10-ITS2,2500-0-5-ITS2,2500-5-10-ITS2,2352-5-10-ITS2,2537-0-5-ITS2,2537-5-10-ITS2,2597-5-10-ITS2,2629-0-5-ITS2,2629-5-10-ITS2,2869-0-5-ITS2,2893-0-5-ITS2,2893-5-10-ITS2,2923-0-5-ITS2,2923-5-10-ITS2,2869-5-10-ITS2,3239-0-5-ITS2,3239-5-10-ITS2,3381-0-5-ITS2,3381-5-10-ITS2,3409-5-10-ITS2,3409-0-5-ITS2,3500-0-5-ITS2,3667-0-5-ITS2,3667-5-10-ITS2,3682-0-5-ITS2,3682-5-10-ITS2,3779-0-5-ITS2,3779-5-10-ITS2,3907-0-5-ITS2,3907-5-10-ITS2,473-0-5-ITS2,473-5-10-ITS2,554-0-5-ITS2,554-5-10-ITS2,672-0-5-ITS2,717-0-5-ITS2
ASV22907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48229E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV22523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93066E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV8514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000872437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV12791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10468,0,0,0,0,0,0.000124099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV13500,0.000214096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069992645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009867615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV5475,0,0,0,0,0,0,0.000262482,0.000112327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV21461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91922E-05,0,0,0
ASV21588,4.28192E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV23390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20698E-05,0,0,0,0,0
ASV10441,0,0,0,4.43076E-05,7.60942E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV13185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000562693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV15751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000198088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV16248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000208279,0,0,0,0,0
ASV16185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000235018,0,0,0,0,0,0,0,0
ASV16300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100923,0,0
ASV4916,0,0,0,0,0,0,0,0,0,0,0.000105912,0,0,0,0.000795798,0.000102927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV8144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000514633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049473359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV257,0,0,0,0,0,0,0,0,0,0,0.000275371,0,0,0,0,0.051772052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000544743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006711642,0.000731695,0,0
